momento_hecho,edad,sexo,clase_victima,vehiculo_victima,tipo_via,tipo_incidente,clima,fatal
Nocturno,28,Masculino,Conductor,Automovil,Ruta nacional,Colision vehiculo/Objeto-Vuelco,Bueno,1
Nocturno,70,Femenino,Conductor,Bicicleta,Ruta provincial,Colision vehiculo/Vehiculo,Bueno,1
Diurno,26,Masculino,Conductor,Motocicleta,Calle,Colision vehiculo/Vehiculo,Bueno,1
Diurno,52,Masculino,Conductor,Motocicleta,Ruta provincial,Colision vehiculo/Objeto-Vuelco,Bueno,1
Diurno,43,Masculino,Pasajero,Automovil,Ruta nacional,Colision vehiculo/Vehiculo,Lluvia,1
Diurno,12,Femenino,Pasajero,Automovil,Ruta nacional,Colision vehiculo/Vehiculo,Lluvia,1
Diurno,64,Masculino,Conductor,Motocicleta,Ruta nacional,Colision vehiculo/Vehiculo,Lluvia,1
Diurno,60,Femenino,Pasajero,Motocicleta,Ruta nacional,Colision vehiculo/Vehiculo,Lluvia,1
Diurno,39,Masculino,Pasajero,Camioneta,Ruta nacional,Colision vehiculo/Vehiculo,Lluvia,1
Nocturno,46,Masculino,Conductor,Motocicleta,Ruta provincial,Colision vehiculo/Vehiculo,Bueno,1
Diurno,66,Masculino,Conductor,Automovil,Ruta nacional,Colision vehiculo/Objeto-Vuelco,Bueno,1
Nocturno,51,Masculino,Conductor,Motocicleta,Calle,Colision vehiculo/Vehiculo,Bueno,1
Diurno,85,Femenino,Pasajero,Automovil,Ruta provincial,Colision vehiculo/Vehiculo,Lluvia,1
Diurno,52,Masculino,Conductor,Motocicleta,Ruta provincial,Colision vehiculo/Vehiculo,Bueno,1
Diurno,29,Femenino,Pasajero,Camioneta,Ruta provincial,Colision vehiculo/Objeto-Vuelco,Bueno,1
Nocturno,23,Masculino,Conductor,Automovil,Ruta provincial,Colision vehiculo/Objeto-Vuelco,Bueno,1
Nocturno,20,Masculino,Conductor,Automovil,Ruta provincial,Colision vehiculo/Objeto-Vuelco,Bueno,1
Diurno,29,Masculino,Conductor,Motocicleta,Calle,Colision vehiculo/Vehiculo,Bueno,1
Nocturno,21,Masculino,Peaton,Peaton,Ruta nacional,Colision vehiculo/Persona,Bueno,1
Diurno,34,Masculino,Conductor,Bicicleta,Ruta provincial,Colision vehiculo/Vehiculo,Bueno,1
Nocturno,21,Masculino,Pasajero,Camion,Ruta nacional,Colision vehiculo/Vehiculo,Otro,1
Diurno,51,Masculino,Conductor,Motocicleta,Calle,Colision vehiculo/Vehiculo,Bueno,1
Diurno,29,Masculino,Pasajero,Automovil,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,1
Diurno,67,Masculino,Conductor,Automovil,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,1
Diurno,22,Masculino,Conductor,Automovil,Ruta provincial,Colision vehiculo/Objeto-Vuelco,Bueno,1
Nocturno,55,Masculino,Conductor,Automovil,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,1
Nocturno,1,Masculino,Peaton,Peaton,Ruta provincial,Colision vehiculo/Persona,Bueno,1
Nocturno,46,Masculino,Peaton,Peaton,Ruta provincial,Colision vehiculo/Persona,Bueno,1
Nocturno,17,Masculino,Conductor,Motocicleta,Ruta nacional,Colision vehiculo/Vehiculo,Nublado,1
Diurno,59,Masculino,Conductor,Motocicleta,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,1
Nocturno,21,Masculino,Conductor,Motocicleta,Calle,Colision vehiculo/Objeto-Vuelco,Bueno,1
Nocturno,74,Femenino,Pasajero,Automovil,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,1
Diurno,58,Femenino,Pasajero,Automovil,Ruta provincial,Colision vehiculo/Objeto-Vuelco,Bueno,1
Nocturno,54,Masculino,Conductor,Motocicleta,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,1
Nocturno,51,Masculino,Pasajero,Automovil,Ruta provincial,Colision vehiculo/Objeto-Vuelco,Bueno,1
Diurno,19,Masculino,Conductor,Motocicleta,Calle,Colision vehiculo/Vehiculo,Otro,1
Nocturno,16,Masculino,Peaton,Peaton,Ruta nacional,Colision vehiculo/Persona,Bueno,1
Diurno,50,Masculino,Conductor,Automovil,Autopista provincial,Colision vehiculo/Vehiculo,Bueno,1
Nocturno,27,Masculino,Conductor,Motocicleta,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,1
Nocturno,20,Femenino,Conductor,Motocicleta,Calle,Colision vehiculo/Objeto-Vuelco,Nublado,1
Diurno,50,Masculino,Conductor,Motocicleta,Ruta provincial,Colision vehiculo/Vehiculo,Bueno,1
Nocturno,43,Masculino,Conductor,Motocicleta,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,1
Diurno,78,Masculino,Conductor,Automovil,Ruta provincial,Colision vehiculo/Objeto-Vuelco,Bueno,1
Nocturno,57,Masculino,Conductor,Automovil,Ruta provincial,Colision vehiculo/Vehiculo,Bueno,1
Nocturno,54,Femenino,Pasajero,Automovil,Ruta provincial,Colision vehiculo/Vehiculo,Bueno,1
Nocturno,22,Masculino,Conductor,Automovil,Ruta provincial,Colision vehiculo/Vehiculo,Bueno,1
Diurno,85,Femenino,Peaton,Peaton,Ruta provincial,Colision vehiculo/Persona,Bueno,1
Nocturno,38,Masculino,Conductor,Automovil,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,1
Diurno,23,Masculino,Conductor,Motocicleta,Autopista provincial,Colision vehiculo/Objeto-Vuelco,Bueno,1
Diurno,76,Femenino,Conductor,Automovil,Ruta provincial,Colision vehiculo/Objeto-Vuelco,Otro,1
Diurno,37,Masculino,Peaton,Peaton,Ruta provincial,Colision vehiculo/Persona,Bueno,1
Nocturno,17,Masculino,Conductor,Motocicleta,Calle,Colision vehiculo/Vehiculo,Lluvia,1
Nocturno,48,Masculino,Conductor,Motocicleta,Ruta provincial,Colision vehiculo/Vehiculo,Otro,1
Nocturno,81,Masculino,Conductor,Automovil,Ruta nacional,Colision vehiculo/Vehiculo,Lluvia,1
Nocturno,54,Masculino,Conductor,Automovil,Ruta nacional,Colision vehiculo/Vehiculo,Lluvia,1
Nocturno,58,Femenino,Conductor,Automovil,Ruta nacional,Colision vehiculo/Vehiculo,Lluvia,1
Diurno,24,Masculino,Conductor,Motocicleta,Autopista nacional,Colision vehiculo/Objeto-Vuelco,Lluvia,1
Diurno,77,Masculino,Conductor,Automovil,Ruta provincial,Colision vehiculo/Vehiculo,Bueno,1
Nocturno,31,Masculino,Conductor,Motocicleta,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,1
Diurno,53,Masculino,Conductor,Camioneta,Ruta provincial,Colision vehiculo/Objeto-Vuelco,Bueno,1
Nocturno,31,Masculino,Conductor,Motocicleta,Calle,Colision vehiculo/Objeto-Vuelco,Bueno,1
Nocturno,46,Femenino,Pasajero,Camioneta,Ruta provincial,Colision vehiculo/Objeto-Vuelco,Bueno,1
Nocturno,24,Masculino,Conductor,Motocicleta,Calle,Colision vehiculo/Vehiculo,Bueno,1
Nocturno,37,Masculino,Conductor,Automovil,Calle,Colision vehiculo/Objeto-Vuelco,Bueno,1
Diurno,43,Masculino,Conductor,Automovil,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,1
Nocturno,2,Femenino,Pasajero,Automovil,Calle,Colision vehiculo/Vehiculo,Bueno,1
Nocturno,25,Femenino,Pasajero,Automovil,Calle,Colision vehiculo/Vehiculo,Bueno,1
Diurno,37,Femenino,Conductor,Automovil,Ruta provincial,Colision vehiculo/Vehiculo,Bueno,1
Nocturno,17,Masculino,Conductor,Motocicleta,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,1
Diurno,70,Femenino,Pasajero,Automovil,Ruta provincial,Colision vehiculo/Objeto-Vuelco,Bueno,1
Diurno,44,Masculino,Conductor,Automovil,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,1
Diurno,47,Femenino,Pasajero,Automovil,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,1
Nocturno,50,Masculino,Conductor,Automovil,Ruta nacional,Colision vehiculo/Objeto-Vuelco,Bueno,1
Nocturno,32,Masculino,Conductor,Automovil,Calle,Colision vehiculo/Vehiculo,Bueno,1
Diurno,39,Masculino,Conductor,Camion,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,1
Nocturno,26,Femenino,Pasajero,Automovil,Ruta provincial,Colision vehiculo/Objeto-Vuelco,Bueno,1
Diurno,53,Femenino,Pasajero,Motocicleta,Autopista nacional,Colision vehiculo/Vehiculo,Bueno,1
Nocturno,29,Masculino,Pasajero,Motocicleta,Ruta provincial,Colision vehiculo/Vehiculo,Lluvia,1
Diurno,64,Masculino,Conductor,Motocicleta,Calle,Colision vehiculo/Vehiculo,Bueno,1
Diurno,58,Femenino,Conductor,Motocicleta,Calle,Colision vehiculo/Vehiculo,Bueno,1
Diurno,27,Masculino,Conductor,Motocicleta,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,1
Diurno,40,Masculino,Conductor,Automovil,Ruta provincial,Colision vehiculo/Vehiculo,Bueno,1
Nocturno,75,Masculino,Conductor,Automovil,Autopista provincial,Colision vehiculo/Objeto-Vuelco,Bueno,1
Nocturno,70,Masculino,Conductor,Automovil,Ruta nacional,Colision vehiculo/Objeto-Vuelco,Bueno,1
Diurno,40,Masculino,Conductor,Motocicleta,Ruta provincial,Colision vehiculo/Objeto-Vuelco,Bueno,1
Diurno,66,Masculino,Conductor,Automovil,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,1
